palm	37046	58106	68556
cortez	36027	62663	79080
wesleys	35772	53210	70271
palm	35516	53821	66152
treasure	33610	53242	64445
treasure	33045	49388	62326
wesleys	31918	47341	57477
cortez	29795	58971	70597
dade	29445	50014	58950
fruitville	29089	58712	66233
pine	28742	45258	58335
palm	28631	51694	62619
fruitville	28621	54242	64224
south	28072	47812	57547
dade	27746	47273	56282
cortez	27606	49523	60842
wesleys	27334	51914	62982
treasure	27062	49536	59886
pine	26938	45037	52533
broward	26872	61185	67922
dade	26551	47661	57204
dade	25854	49463	60114
cortez	25803	44490	66157
dade	25490	50138	57473
south	25384	55129	62929
south	25323	46477	55935
dade	25033	47770	56877
wesleys	24939	48090	54754
south	24768	44400	55569
palm	24741	40644	61188
aventura	24180	43079	51268
dade	24164	44228	53457
south	23474	43573	53495
cortez	23296	45196	51943
south	22957	43605	50065
cortez	22775	42011	50135
pine	22551	37933	45568
pine	22384	40339	47614
dade	21892	53301	63924
pine	21881	43946	51395
fruitville	21005	36490	46083
aventura	20536	46328	50203
fruitville	19664	38339	43229
wesleys	19647	41359	47059
fruitville	19593	47276	55597
dade	19579	34946	41955
treasure	19366	38214	47726
treasure	18782	36352	45012
broward	18703	35737	43256
broward	18649	37408	46012
aventura	18470	36216	46742
fruitville	18402	34645	43184
wesleys	18309	37039	43994
palm	18069	46445	54024
broward	17968	39178	46979
cortez	17872	39429	44046
wesleys	17177	38257	49600
fruitville	17066	32312	39914
dade	17003	40777	48750
wesleys	16997	41126	47583
broward	16843	35728	46773
aventura	16346	37459	46791
palm	15989	35979	38986
broward	15794	37613	46616
treasure	15285	32247	42731
treasure	15091	31699	39332
aventura	14734	37298	38564
palm	14668	37466	43001
dade	13657	41794	53469
